,discount_total_offers,discount_completion_pct,discount_min_completion_days,discount_max_completion_days,discount_completed_offers,discount_avg_completion_days,discount_avg_net_reward,bogo_total_offers,bogo_completion_pct,bogo_completed_offersbogo_min_completion_days,bogo_max_completion_days,bogo_avg_completion_days,bogo_avg_net_reward,informational_promotions,age,income,total_transactions,min_transaction_day,max_transaction_day,avg_transaction,total_transaction_amount,median_days_between_purchases,avg_days_between_purchases,gender_F,gender_M,gender_O,gender_Unknown
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,62,80000.0,10.0,60.0,702.0,16.392000000000003,163.92000000000002,57.0,64.8,0,1,0,0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,6.0,0.0,0,50,104000.0,8.0,252.0,678.0,27.45375,219.63,27.0,54.0,0,1,0,0
29,2.0,0.0,0.0,0.0,0.0,0.0,-8.0,1.0,0.0,0.0,0.0,0.0,0.0,0,118,65404.9915682968,3.0,480.0,660.0,2.58,7.74,42.0,62.0,0,0,0,1
30,1.0,0.0,0.0,0.0,0.0,0.0,-8.0,3.0,0.0,0.0,0.0,0.0,0.0,0,68,76000.0,4.0,66.0,570.0,13.3875,53.55,12.0,127.5,1,0,0,0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,94,50000.0,7.0,72.0,600.0,11.03,77.21,108.0,76.28571428571429,0,1,0,0
32,1.0,1.0,18.0,18.0,1.0,18.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0,44,72000.0,8.0,18.0,702.0,18.83,150.64,66.0,86.25,0,1,0,0
33,2.0,0.0,0.0,0.0,0.0,0.0,-6.0,1.0,0.0,0.0,0.0,0.0,0.0,0,59,77000.0,3.0,282.0,396.0,21.166666666666668,63.5,24.0,40.0,0,1,0,0
34,1.0,1.0,12.0,12.0,1.0,12.0,-4.0,1.0,1.0,0.0,0.0,0.0,0.0,0,52,80000.0,8.0,54.0,624.0,20.50125,164.01,24.0,72.0,0,0,1,0
35,1.0,1.0,6.0,6.0,1.0,6.0,-8.0,1.0,1.0,0.0,6.0,6.0,0.0,0,58,102000.0,5.0,132.0,582.0,24.818,124.09,36.0,91.2,1,0,0,0
36,3.0,0.0,0.0,0.0,0.0,0.0,-6.666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0,33,42000.0,2.0,258.0,384.0,3.49,6.98,66.0,66.0,0,1,0,0
37,3.0,0.0,0.0,0.0,0.0,0.0,-10.333333333333334,2.0,0.0,0.0,0.0,0.0,0.0,1,28,35000.0,2.0,222.0,558.0,1.295,2.59,171.0,171.0,0,1,0,0
38,1.0,1.0,18.0,18.0,1.0,18.0,-4.0,1.0,1.0,0.0,12.0,12.0,0.0,1,47,86000.0,11.0,48.0,666.0,21.95909090909091,241.55,48.0,56.72727272727273,0,1,0,0
39,2.0,1.0,0.0,6.0,2.0,3.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,2,22,49000.0,14.0,204.0,678.0,9.624285714285715,134.74,18.0,34.285714285714285,1,0,0,0
40,2.0,0.0,0.0,0.0,0.0,0.0,-9.5,3.0,0.0,0.0,0.0,0.0,0.0,0,34,38000.0,9.0,120.0,690.0,2.997777777777778,26.98,66.0,64.0,0,1,0,0
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,53,73000.0,3.0,60.0,564.0,21.423333333333336,64.27000000000001,96.0,170.0,0,1,0,0
42,2.0,0.0,0.0,0.0,0.0,0.0,-9.5,2.0,0.0,0.0,0.0,0.0,0.0,0,53,40000.0,8.0,30.0,660.0,3.2725,26.18,84.0,79.5,0,1,0,0
43,1.0,1.0,0.0,0.0,1.0,0.0,-8.0,1.0,1.0,0.0,18.0,18.0,0.0,1,58,115000.0,12.0,36.0,672.0,27.886666666666667,334.64,36.0,53.5,1,0,0,0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,6.0,6.0,0.0,1,22,32000.0,19.0,18.0,654.0,3.1378947368421053,59.62,18.0,33.78947368421053,0,1,0,0
45,2.0,1.0,0.0,0.0,2.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0,71,75000.0,7.0,84.0,666.0,23.202857142857145,162.42000000000002,30.0,84.0,0,1,0,0
46,2.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,1,45,88000.0,2.0,192.0,708.0,22.3,44.6,261.0,261.0,0,1,0,0
47,1.0,1.0,18.0,18.0,1.0,18.0,-8.0,1.0,0.0,0.0,0.0,0.0,0.0,0,82,33000.0,20.0,36.0,708.0,9.5775,191.55,30.0,33.9,1,0,0,0
48,1.0,0.0,0.0,0.0,0.0,0.0,-8.0,2.0,0.0,0.0,0.0,0.0,0.0,1,40,65000.0,2.0,594.0,624.0,11.535,23.07,18.0,18.0,0,1,0,0
49,1.0,0.0,0.0,0.0,0.0,0.0,-15.0,1.0,0.0,0.0,0.0,0.0,0.0,1,35,70000.0,7.0,186.0,702.0,4.425714285714286,30.98,48.0,74.57142857142857,0,1,0,0
50,1.0,1.0,0.0,0.0,1.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,2,73,45000.0,17.0,48.0,708.0,36.15235294117648,614.59,36.0,39.1764705882353,0,1,0,0
51,1.0,1.0,18.0,18.0,1.0,18.0,-8.0,1.0,0.0,0.0,0.0,0.0,0.0,0,55,94000.0,11.0,12.0,690.0,21.541818181818183,236.96,36.0,62.18181818181818,0,1,0,0
52,2.0,0.0,0.0,0.0,0.0,0.0,-8.0,1.0,0.0,0.0,0.0,0.0,0.0,1,60,74000.0,1.0,708.0,708.0,4.03,4.03,6.0,6.0,0,1,0,0
53,1.0,0.0,0.0,0.0,0.0,0.0,-15.0,3.0,0.0,0.0,0.0,0.0,0.0,1,45,52000.0,5.0,240.0,714.0,3.158,15.79,48.0,96.0,0,1,0,0
54,1.0,1.0,6.0,6.0,1.0,6.0,-15.0,1.0,1.0,0.0,6.0,6.0,0.0,0,57,80000.0,10.0,6.0,648.0,18.623,186.23,51.0,64.8,0,1,0,0
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,0.0,0.0,0.0,0.0,1,56,91000.0,3.0,60.0,528.0,26.7,80.1,192.0,158.0,1,0,0,0
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,55,104000.0,3.0,354.0,600.0,25.55,76.65,78.0,84.0,0,1,0,0
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1,118,65404.9915682968,3.0,54.0,672.0,2.183333333333333,6.55,288.0,208.0,0,0,0,1
58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,12.0,9.0,0.0,0,19,50000.0,11.0,102.0,666.0,13.17909090909091,144.97,36.0,51.81818181818182,0,1,0,0
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,118,65404.9915682968,10.0,138.0,714.0,2.124,21.24,60.0,58.2,0,0,0,1
60,1.0,1.0,12.0,12.0,1.0,12.0,-4.0,1.0,0.0,0.0,0.0,0.0,0.0,1,68,32000.0,18.0,6.0,690.0,7.214444444444443,129.86,24.0,38.333333333333336,1,0,0,0
61,3.0,0.0,0.0,0.0,0.0,0.0,-5.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0,52,38000.0,5.0,84.0,654.0,4.040000000000001,20.200000000000003,132.0,115.2,0,1,0,0
62,2.0,0.0,0.0,0.0,0.0,0.0,-11.5,0.0,0.0,0.0,0.0,0.0,0.0,2,57,55000.0,3.0,96.0,450.0,21.346666666666668,64.04,108.0,120.0,0,1,0,0
63,1.0,1.0,12.0,12.0,1.0,12.0,-8.0,2.0,0.0,0.0,0.0,0.0,0.0,1,86,109000.0,6.0,276.0,564.0,31.94666666666667,191.68,60.0,49.0,1,0,0,0
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,0.0,0.0,0.0,0.0,2,54,117000.0,6.0,36.0,570.0,29.456666666666667,176.74,54.0,90.0,1,0,0,0
65,1.0,0.0,0.0,0.0,0.0,0.0,-8.0,3.0,0.0,0.0,0.0,0.0,0.0,2,118,65404.9915682968,11.0,36.0,654.0,0.9072727272727272,9.98,30.0,56.72727272727273,0,0,0,1
66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,58,54000.0,20.0,72.0,714.0,3.4590000000000005,69.18,21.0,32.4,0,1,0,0
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,86,73000.0,8.0,204.0,564.0,19.37375,154.99,36.0,45.75,1,0,0,0
68,1.0,1.0,0.0,0.0,1.0,0.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,1,67,79000.0,9.0,60.0,666.0,20.72666666666667,186.54,60.0,68.0,0,1,0,0
69,3.0,0.0,0.0,0.0,0.0,0.0,-5.333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,1,70,60000.0,4.0,234.0,630.0,1.58,6.32,99.0,100.5,0,1,0,0
70,1.0,1.0,6.0,6.0,1.0,6.0,-8.0,1.0,1.0,0.0,6.0,6.0,0.0,0,61,118000.0,16.0,108.0,672.0,26.120625,417.93,27.0,35.625,1,0,0,0
71,1.0,1.0,12.0,12.0,1.0,12.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,3,52,115000.0,10.0,84.0,678.0,28.711,287.11,54.0,60.0,1,0,0,0
72,3.0,0.0,0.0,0.0,0.0,0.0,-6.666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0,118,65404.9915682968,10.0,42.0,696.0,0.794,7.94,63.0,66.0,0,0,0,1
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,70,76000.0,10.0,0.0,558.0,19.965,199.65,45.0,56.4,1,0,0,0
74,3.0,1.0,0.0,18.0,3.0,10.0,-6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0,56,99000.0,10.0,12.0,618.0,23.541,235.41,45.0,61.2,0,1,0,0
75,1.0,0.0,0.0,0.0,0.0,0.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,2,44,35000.0,3.0,372.0,708.0,6.093333333333334,18.28,78.0,114.0,1,0,0,0
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1,46,35000.0,6.0,204.0,714.0,2.381666666666667,14.29,66.0,86.0,0,1,0,0
77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,84,74000.0,5.0,282.0,696.0,16.64,83.2,36.0,84.0,1,0,0,0
78,1.0,0.0,0.0,0.0,0.0,0.0,-15.0,2.0,0.0,0.0,0.0,0.0,0.0,1,22,57000.0,5.0,90.0,660.0,2.066,10.33,84.0,115.2,0,1,0,0
79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,6.0,3.0,0.0,0,62,90000.0,8.0,300.0,714.0,20.18875,161.51,33.0,52.5,0,1,0,0
80,1.0,0.0,0.0,0.0,0.0,0.0,-8.0,1.0,0.0,0.0,0.0,0.0,0.0,3,57,79000.0,3.0,108.0,450.0,15.263333333333334,45.79,48.0,116.0,1,0,0,0
81,3.0,0.0,0.0,0.0,0.0,0.0,-10.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,2,24,56000.0,15.0,12.0,714.0,3.6786666666666665,55.18,30.0,47.2,0,1,0,0
82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,66,57000.0,9.0,90.0,678.0,14.561111111111112,131.05,18.0,66.0,1,0,0,0
83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,68,76000.0,9.0,48.0,618.0,22.01,198.09,48.0,64.0,1,0,0,0
84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,0.0,12.0,12.0,0.0,1,54,30000.0,8.0,144.0,600.0,7.285,58.28,54.0,57.75,1,0,0,0
85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,12.0,12.0,0.0,1,20,43000.0,13.0,6.0,654.0,11.67923076923077,151.83,30.0,50.30769230769231,0,1,0,0
86,1.0,0.0,0.0,0.0,0.0,0.0,-15.0,1.0,1.0,0.0,18.0,18.0,0.0,2,56,35000.0,13.0,138.0,678.0,8.50153846153846,110.52,30.0,42.0,0,1,0,0
87,1.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,2,61,100000.0,10.0,60.0,546.0,100.341,1003.41,33.0,49.2,0,1,0,0
88,1.0,0.0,0.0,0.0,0.0,0.0,-8.0,2.0,0.0,0.0,0.0,0.0,0.0,1,72,45000.0,18.0,84.0,672.0,2.808333333333333,50.55,21.0,33.0,0,1,0,0
89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,61,78000.0,3.0,198.0,570.0,21.44333333333333,64.33,102.0,126.0,0,1,0,0
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,18.0,15.0,0.0,1,61,34000.0,13.0,66.0,666.0,7.588461538461539,98.65,30.0,46.61538461538461,0,1,0,0
91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,75,109000.0,2.0,228.0,552.0,18.52,37.04,165.0,165.0,1,0,0,0
92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.75,0.0,6.0,4.0,0.0,0,57,116000.0,2.0,336.0,510.0,27.31,54.620000000000005,90.0,90.0,1,0,0,0
93,4.0,0.0,0.0,0.0,0.0,0.0,-8.75,1.0,0.0,0.0,0.0,0.0,0.0,1,118,65404.9915682968,2.0,534.0,672.0,3.025,6.05,72.0,72.0,0,0,0,1
94,2.0,1.0,12.0,12.0,2.0,12.0,-8.0,1.0,1.0,0.0,0.0,0.0,0.0,0,52,95000.0,10.0,72.0,606.0,24.865,248.65,18.0,54.0,0,1,0,0
95,1.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,1,60,51000.0,4.0,66.0,240.0,15.28,61.12,48.0,45.0,1,0,0,0
96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,12.0,12.0,0.0,0,74,72000.0,10.0,24.0,618.0,22.296,222.96,39.0,60.0,1,0,0,0
97,1.0,1.0,18.0,18.0,1.0,18.0,-8.0,3.0,0.3333333333333333,0.0,18.0,18.0,0.0,0,23,33000.0,21.0,18.0,708.0,6.723809523809523,141.2,24.0,33.142857142857146,1,0,0,0
98,3.0,0.0,0.0,0.0,0.0,0.0,-6.666666666666667,2.0,0.0,0.0,0.0,0.0,0.0,0,27,39000.0,7.0,156.0,678.0,2.3542857142857145,16.48,48.0,75.42857142857143,0,1,0,0
99,1.0,1.0,12.0,12.0,1.0,12.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0,59,76000.0,8.0,78.0,564.0,64.38624999999999,515.0899999999999,57.0,61.5,0,1,0,0
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,74,91000.0,6.0,126.0,618.0,26.008333333333336,156.05,90.0,83.0,1,0,0,0
101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,55,79000.0,3.0,90.0,498.0,19.03333333333333,57.1,12.0,138.0,0,1,0,0
102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,87,77000.0,5.0,300.0,630.0,128.858,644.29,60.0,67.2,1,0,0,0
103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,18.0,15.0,0.0,1,53,88000.0,12.0,12.0,708.0,20.955,251.46,45.0,58.5,1,0,0,0
104,2.0,0.5,6.0,6.0,1.0,6.0,-11.5,1.0,1.0,0.0,6.0,6.0,0.0,0,48,52000.0,12.0,6.0,684.0,13.575,162.9,36.0,57.0,0,1,0,0
105,1.0,0.0,0.0,0.0,0.0,0.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,2,49,73000.0,8.0,204.0,672.0,4.9675,39.74,48.0,59.25,0,1,0,0
106,2.0,0.0,0.0,0.0,0.0,0.0,-11.5,1.0,0.0,0.0,0.0,0.0,0.0,2,44,76000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0
107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,53,84000.0,7.0,108.0,672.0,109.41142857142856,765.88,48.0,81.42857142857143,1,0,0,0
108,1.0,0.0,0.0,0.0,0.0,0.0,-8.0,1.0,1.0,0.0,18.0,18.0,0.0,1,60,74000.0,4.0,426.0,690.0,21.565,86.25999999999999,81.0,67.5,1,0,0,0
109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1,29,31000.0,15.0,12.0,714.0,6.746,101.19,30.0,47.2,1,0,0,0
110,1.0,1.0,18.0,18.0,1.0,18.0,-8.0,1.0,0.0,0.0,0.0,0.0,0.0,2,54,119000.0,8.0,84.0,636.0,22.645,181.16,18.0,69.75,1,0,0,0
111,5.0,0.0,0.0,0.0,0.0,0.0,-10.0,1.0,1.0,0.0,18.0,18.0,0.0,0,118,65404.9915682968,9.0,150.0,612.0,1.4533333333333334,13.08,42.0,52.0,0,0,0,1
112,1.0,0.0,0.0,0.0,0.0,0.0,-4.0,3.0,0.0,0.0,0.0,0.0,0.0,1,20,43000.0,8.0,78.0,690.0,2.245,17.96,93.0,77.25,1,0,0,0
113,2.0,0.5,0.0,0.0,1.0,0.0,-11.5,0.0,0.0,0.0,0.0,0.0,0.0,1,70,92000.0,5.0,384.0,522.0,27.116,135.57999999999998,18.0,28.8,1,0,0,0
114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,69,79000.0,3.0,378.0,702.0,17.973333333333333,53.92,24.0,110.0,1,0,0,0
115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,12.0,12.0,0.0,0,63,89000.0,8.0,12.0,618.0,20.82375,166.59,72.0,76.5,0,0,1,0
116,1.0,1.0,0.0,0.0,1.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,2,62,62000.0,5.0,336.0,612.0,19.528,97.64,54.0,56.4,1,0,0,0
117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,44,64000.0,10.0,84.0,708.0,16.189,161.89,63.0,63.0,0,1,0,0
118,1.0,1.0,18.0,18.0,1.0,18.0,-8.0,1.0,0.0,0.0,0.0,0.0,0.0,1,54,58000.0,9.0,186.0,666.0,15.49,139.41,30.0,54.0,1,0,0,0
119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,64,76000.0,9.0,90.0,702.0,21.667777777777776,195.01,18.0,68.66666666666667,0,1,0,0
120,2.0,0.0,0.0,0.0,0.0,0.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0,118,65404.9915682968,2.0,606.0,666.0,3.835,7.67,33.0,33.0,0,0,0,1
121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2,39,71000.0,4.0,0.0,414.0,17.9875,71.95,42.0,105.0,0,1,0,0
122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1,67,39000.0,16.0,126.0,714.0,2.793125,44.69,21.0,37.125,0,1,0,0
123,3.0,0.0,0.0,0.0,0.0,0.0,-10.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,1,59,42000.0,11.0,222.0,714.0,3.1709090909090905,34.879999999999995,24.0,45.27272727272727,0,1,0,0
124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2,118,65404.9915682968,6.0,366.0,648.0,3.49,20.94,54.0,48.0,0,0,0,1
125,1.0,1.0,0.0,0.0,1.0,0.0,-8.0,1.0,1.0,0.0,6.0,6.0,0.0,1,83,67000.0,13.0,0.0,600.0,17.915384615384617,232.9,36.0,46.61538461538461,1,0,0,0
126,2.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,1,118,65404.9915682968,6.0,138.0,624.0,2.8216666666666668,16.93,96.0,82.0,0,0,0,1
127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2,68,57000.0,18.0,30.0,672.0,14.007777777777775,252.14,18.0,36.0,1,0,0,0
128,1.0,1.0,6.0,6.0,1.0,6.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,1,58,64000.0,13.0,6.0,696.0,59.02230769230769,767.29,24.0,53.53846153846154,1,0,0,0
129,1.0,1.0,0.0,0.0,1.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,28,64000.0,12.0,96.0,522.0,18.209166666666665,218.51,24.0,36.0,0,1,0,0
